Designator,Mid X,Mid Y,Rotation,Layer
C1,189.4332,-63.1952,90.0,top
C10,186.5884,-61.849,90.0,top
C2,190.3578,-72.517,180.0,top
C3,187.452,-68.0466,270.0,top
C4,196.088,-63.6016,90.0,top
C5,198.0184,-62.2554,90.0,top
C6,198.12,-67.8434,0.0,top
C7,200.0504,-62.23,90.0,top
C9,184.5564,-61.849,90.0,top
J1,216.662,-90.175,180.0,top
J2,209.042,-80.01,0.0,top
J3,173.639,-103.378,180.0,top
J4,175.4886,-81.1022,180.0,top
J5,191.9732,-80.4672,90.0,top
J6,196.596,-104.14,90.0,top
J7,172.2882,-63.8004,180.0,top
L1,192.532,-60.9048,0.0,top
R1,190.9318,-69.1388,90.0,top
R2,189.3824,-69.1388,90.0,top
R3,194.437,-70.3326,270.0,top
R4,195.9864,-70.3326,90.0,top
R5,184.3278,-92.8624,0.0,top
U1,192.54,-65.6286,90.0,top
U2,193.6242,-91.5787,270.0,top
